ID,Codigo,Descripcion,DescripcionCorta,EdicionID,Activo
1,Z23.2,NECESIDAD DE INMUNIZACION CONTRA LA TUBERCULOSIS [BCG],NECESIDAD DE INMUNIZACION CONTRA LA TUBERCULOSIS [BCG],,Y
2,C15.2,CANCER DE ESOFAGO ABDOMINAL,CANCER DE ESOFAGO ABDOMINAL,,Y
3,Z23.5,NECESIDAD DE INMUNIZACION SOLO CONTRA EL TETANOS,NECESIDAD DE INMUNIZACION SOLO CONTRA EL TETANOS,,Y
4,Z23.6,NECESIDAD DE INMUNIZACION SOLO CONTRA LA DIFTERIA,NECESIDAD DE INMUNIZACION SOLO CONTRA LA DIFTERIA,,Y
5,Z24,NECESIDAD DE INMUNIZACION CONTRA CIERTAS ENF. VIRALES,NECESIDAD DE INMUNIZACION CONTRA CIERTAS ENF. VIRALES,,Y
6,Z24.0,NECESIDAD DE INMUNIZACION CONTRA LA POLIOMIELITIS,NECESIDAD DE INMUNIZACION CONTRA LA POLIOMIELITIS,,Y
7,Z24.2,NECESIDAD DE INMUNIZACION CONTRA LA RABIA,NECESIDAD DE INMUNIZACION CONTRA LA RABIA,,Y
8,Z24.4,NECESIDAD DE INMUNIZACION SOLO CONTRA EL SARAMPION,NECESIDAD DE INMUNIZACION SOLO CONTRA EL SARAMPION,,Y
9,Z24.5,NECESIDAD DE INMUNIZACION SOLO CONTRA LA RUBEOLA,NECESIDAD DE INMUNIZACION SOLO CONTRA LA RUBEOLA,,Y
10,Z24.6,NECESIDAD DE INMUNIZACION CONTRA LA HEPATITIS VIRAL,NECESIDAD DE INMUNIZACION CONTRA LA HEPATITIS VIRAL,,Y
11,Z25.0,NECESIDAD DE INMUNIZACION SOLO CONTRA LA PAROTIDITIS,NECESIDAD DE INMUNIZACION SOLO CONTRA LA PAROTIDITIS,,Y
12,Z25.1,NECESIDAD DE INMUNIZACION CONTRA LA INFLUENZA [GRIPE],NECESIDAD DE INMUNIZACION CONTRA LA INFLUENZA [GRIPE],,Y
13537,A00.0,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE","COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO CHOLERAE",,Y
13538,A00.1,"COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR","COLERA DEBIDO A VIBRIO CHOLERAE O1, BIOTIPO EL TOR",,Y
13539,A00.9,"COLERA, NO ESPECIFICADO","COLERA, NO ESPECIFICADO",,Y
13540,A01.0,FIEBRE TIFOIDEA,FIEBRE TIFOIDEA,,Y
13541,A01.1,FIEBRE PARATIFOIDEA,FIEBRE PARATIFOIDEA,,Y
13542,A01.2,FIEBRE PARATIFOIDEA B,FIEBRE PARATIFOIDEA B,,Y
13543,A01.3,FIEBRE PARATIFOIDEA C,FIEBRE PARATIFOIDEA C,,Y
13544,A01.4,"FIEBRE PARATIFOIDEA, NO ESPECIFICADA","FIEBRE PARATIFOIDEA, NO ESPECIFICADA",,Y
13545,A02.0,ENTERITIS DEBIDA A SALMONELLA,ENTERITIS DEBIDA A SALMONELLA,,Y
13546,A02.1,SEPSIS DEBIDA A SALMONELLA,SEPSIS DEBIDA A SALMONELLA,,Y
13547,A02.2,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA,,Y
13548,A02.8,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA,,Y
13549,A02.9,"INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA","INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA",,Y
13550,A03.0,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE,,Y
13551,A03.1,SHIGELOSIS DEBIDA S SHIGELLA FLEXNERI,SHIGELOSIS DEBIDA S SHIGELLA FLEXNERI,,Y
13552,A03.2,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,SHIGELOSIS DEBIDA A SHIGELLA BOYDII,,Y
13553,A03.3,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,SHIGELOSIS DEBIDA A SHIGELLA SONNEI,,Y
13554,A03.8,OTRAS SHIGELOSIS,OTRAS SHIGELOSIS,,Y
13555,A03.9,SHIGELOSIS DE TIPO NO ESPECIFICADO,SHIGELOSIS DE TIPO NO ESPECIFICADO,,Y
13556,A04.0,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA,,Y
13557,A04.1,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA,,Y
13558,A04.2,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA,,Y
13559,A04.3,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA,INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA,,Y
13560,A04.4,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI,,Y
13561,A04.5,ENTERITIS DEBIDA A CAMPYLOBACTER,ENTERITIS DEBIDA A CAMPYLOBACTER,,Y
13562,A04.6,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA,,Y
13563,A04.7,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE,,Y
13564,A04.8,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS,,Y
13565,A04.9,"INFECCIÓN BACTERIANA, NO ESPECIFICADA","INFECCIÓN BACTERIANA, NO ESPECIFICADA",,Y
13566,A05.0,INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA,INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA,,Y
13567,A05.1,BOTULISMO,BOTULISMO,,Y
13568,A05.2,INTOXICACIÓN ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII],INTOXICACIÓN ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRI,,Y
13569,A05.3,INTOXICACIÓN ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,INTOXICACIÓN ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS,,Y
13570,A05.4,INTOXICACIÓN ALIMENTARIA DEBIDA A BACILUS CEREUS,INTOXICACIÓN ALIMENTARIA DEBIDA A BACILUS CEREUS,,Y
13571,A05.8,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS,OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADA,,Y
13572,A05.9,"INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA","INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA",,Y
13573,A06.0,DISENTERIA AMEBIANA AGUDA,DISENTERIA AMEBIANA AGUDA,,Y
13574,A06.1,AMEBIASIS INTESTINAL CRONICA,AMEBIASIS INTESTINAL CRONICA,,Y
13575,A06.2,COLITIS AMEBIANA NO DISENTERICA,COLITIS AMEBIANA NO DISENTERICA,,Y
13576,A06.3,AMEBOMA INTESTINAL,AMEBOMA INTESTINAL,,Y
13577,A06.4,ABSCESO AMEBIANO DEL HIGADO,ABSCESO AMEBIANO DEL HIGADO,,Y
13578,A06.5,ABSCESO AMEBIANO DEL PULMON,ABSCESO AMEBIANO DEL PULMON,,Y
13579,A06.6,ABSCESO AMEBIANO DEL CEREBRO,ABSCESO AMEBIANO DEL CEREBRO,,Y
13580,A06.7,AMEBIASIS CUTANEA,AMEBIASIS CUTANEA,,Y
13581,A06.8,INFECCIÓN AMEBIANA DE OTRA LOCALIZACIONES,INFECCIÓN AMEBIANA DE OTRA LOCALIZACIONES,,Y
13582,A06.9,"AMEBIASIS, NO ESPECIFICADA","AMEBIASIS, NO ESPECIFICADA",,Y
13583,A07.0,BALANTIDIASIS,BALANTIDIASIS,,Y
13584,A07.1,GIARDIASIS [LAMBLIASIS],GIARDIASIS [LAMBLIASIS],,Y
13585,A07.2,CRIPTOSPORIDIOSIS,CRIPTOSPORIDIOSIS,,Y
13586,A07.3,ISOSPORIASIS,ISOSPORIASIS,,Y
13587,A07.8,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS,OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARI,,Y
13588,A07.9,"ENFERMEDAD INTESTINAL DEBIA A PROTOZOARIOS, NO ESPECIFICADA","ENFERMEDAD INTESTINAL DEBIA A PROTOZOARIOS, NO ESPECIFICADA",,Y
13589,A08.0,ENTERITIS DEBIDA A ROTAVIRUS,ENTERITIS DEBIDA A ROTAVIRUS,,Y
13590,A08.1,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,GASTROENTEROPATIA AGUDA DEBIDA AL AGENTE DE NORWALK,,Y
