ID,Codigo,Descripcion,Abreviatura,CategoriaID
10000||1,2172361,MESALAZINA - MESALAZINA SUPOSITORIO 500.0 mg,MESALAZINA - MESALAZINA SUPOSITORIO 500.0 mg,531
10001||1,2136905,METILPREDNISOLONA ACETATO - METILPREDNISOLONA ACETATO SOLUCION INYECTABLE 40.0 mg/ML,METILPREDNISOLONA ACETATO - METILPREDNISOLONA ACETATO SOLUCION INYECTABLE 40.0 mg/ML,
10002||1,2135655,NISTATINA - NISTATINA OVULO VAGINAL 100000.0 UI,NISTATINA - NISTATINA OVULO VAGINAL 100000.0 UI,
10004||1,phov-007,prueba cutánea de derivado proteico purificado (PPD),PPD,23
10006||1,2240003,AEROCAMARA ADULTO,AEROCAMARA ADULTO,185
10007||1,2240004,AEROCAMARA PEDIATRICA,AEROCAMARA PEDIATRICA,185
10008||1,2240002,AGUJA P/ LAPIZ P/INSULINA 32 G 5/32,AGUJA P/ LAPIZ P/INSULINA 32 G 5/32,185
10009||1,2240006,PARCHE OCULAR ADULTO,PARCHE OCULAR ADULTO,185
10010||1,2240007,PARCHE OCULAR INFANTIL,PARCHE OCULAR INFANTIL,185
10011||1,2240008,PRESERVATIVO LISO TRANSPARENTE LATEX RESISTENTE,PRESERVATIVO LISO TRANSPARENTE LATEX RESISTENTE,185
10012||1,2250001,BOLSA COLOSTOMIA DRENABLE 14X21 ADULTO,BOLSA COLOSTOMIA DRENABLE 14X21 ADULTO,185
10013||1,2240005,LANCETA ACCU-CHEK SOFTCLIX (200),LANCETA ACCU-CHEK SOFTCLIX (200),185
10014||1,2240009,TIRAS REACTIVAS - TIRAS REACTIVAS ACCU-CHEK INSTANT,TIRAS REACTIVAS - TIRAS REACTIVAS ACCU-CHEK INSTANT,185
10015||1,2240001,JERINGAS DE INSULINA - JERINGA INSULINA 30G X 5/16 DE 100 IU,JERINGAS DE INSULINA - JERINGA INSULINA 30G X 5/16 DE 100 IU,185
10020||1,08223115.1,Evaluacion por Especialista Neurologia Adultos - De turno,Evaluacion por Especialista Neurologia Adultos - De turno,89
10023||1,"2703110,1",PROCEDIMIENTO RESTAURADOR (ODONTOPEDIATRÍA),PROCEDIMIENTO RESTAURADOR (ODONTOPEDIATRÍA),108
10025||1,"2703110,2",OBTURACIÓN DIRECTA (RESTAURACION ESTÉTICA),OBTURACIÓN DIRECTA (RESTAURACION ESTÉTICA),23
10027||1,2705009,EXODONCIA DE DIENTES RETENIDOS (TERCER MOLAR),EXODONCIA DE DIENTES RETENIDOS (TERCER MOLAR),23
10029||1,5099037,DESOBTURACION DE CONDUCTOS,DESOBTURACION DE CONDUCTOS,23
10031||1,5099056,RETRATAMIENTO DE ENDODONCIA,RETRATAMIENTO DE ENDODONCIA,23
