ID,Codigo,Nombre,NombreProducto,GenericoID,Activo
725,2161500,DOPAMINA SOLUCION INYECTABLE 200 MG/5 ML,,238,Y
726,2179007,"EPINEFRINA RACÉMICA SIN NEBULIZAR 11,25% 0,5 ML",,836,Y
727,2160024,EPINEFRINA CLORHIDRATO 1 MG/ML SOL. INYECTABLE,,255,Y
728,2179008,"EPINEFRINA SOLUCION PARA NEBULIZACION 2,25%",,255,Y
729,2160039,ISOPROTERENOL CLORHIDRATO 1 MG / 5 ML,,403,Y
731,2169029,NOREPINEFRINA SOLUCION INYECTABLE 4 MG/4 ML,,529,Y
733,2140023xxx,IVABRADINA COMPRIMIDO 5 MG,,803,Y
734,4000153,TROSPIO CLORURO 30 MG,,829,Y
735,2160310,ATROPINA SOLUCION INYECTABLE 1 MG/ML,,72,Y
736,NOEXISTE15,DROPERIDOL,,245,Y
737,2120034,"MIDAZOLAM COMPRIMIDO 7,5 MG",,489,Y
738,2129005,MIDAZOLAM SOLUCION INYECTABLE 15 MG/3 ML,,489,Y
739,2129004,MIDAZOLAM SOLUCION INYECTABLE 5 MG/ 5 ML,,489,Y
740,2121212,MIDAZOLAM SOLUCION INYECTABLE 5 MG/ ML,,489,Y
741,2120010xxx,MIDAZOLAM SOLUCION INYECTABLE 50 MG/10 ML,,489,Y
742,2140003,ACIDO ACETILSALICILICO 100MG,,10,Y
743,2140004,ACIDO ACETILSALICILICO 500MG,,10,Y
744,2140060,CELECOXIB 200 MG,,141,Y
745,2160102xxx,CLONIXINATO DE LISINA SOLUCION INYECTABLE 125 MG/2 ML,,173,Y
746,2179044,DICLOFENACO 1%,,224,Y
747,2171158,DICLOFENACO 15 MG/ML,,224,Y
749,2140089,DICLOFENACO 50 MG CM,,224,Y
750,2160017,DICLOFENACO SODICO 75 MG/3 ML,,224,Y
751,2170024,"DICLOFENACO 12,5 MG SUPOSITORIO",,224,Y
752,2140138,IBUPROFENO COMPRIMIDO 400 MG,,367,Y
753,2179037,IBUPROFENO JARABE O SUSPENSION ORAL 100 MG/5 ML,,367,Y
754,2149986,INDOMETACINA CAPSULA O COMPRIMIDO 25 MG,,375,Y
755,M02AA100370098,KETOPROFENO COMPRIMIDO 100 MG,,413,Y
756,M02AA100100098,KETOPROFENO SOLUCION INYECTABLE 100 MG,,413,Y
757,2160041,KETOROLACO TROMETAMOL 30 MG / 1 ML,,414,Y
758,2140176,METAMIZOL SODICO 300 MG,,476,Y
759,2160048,METAMIZOL SODICO 1 G/2 ML SOL. INYECTABLE,,476,Y
760,2143962,NAPROXENO COMPRIMIDO 550 MG,,509,Y
761,2160438,PARACETAMOL 10 MG/ML FA 100 ML SOL. INYECTABLE,,559,Y
762,2167107,PARACETAMOL 10 MG/ML,,559,Y
763,2149013,PARACETAMOL 500 MG /PSEUDOEFEDRINA 60MG /CLORFENAMINA 4 MG COM,,559,Y
764,2145920,PARACETAMOL COMPRIMIDO 500 MG,,559,Y
765,2170064,PARACETAMOL SOLUCION PARA GOTAS ORALES 100 MG/ML,,559,Y
766,2170065,PARACETAMOL SUPOSITORIO 125 MG,,559,Y
767,2120006,BUPRENORFINA 35 MCG/H PARCHE TRANSDERMICO,,108,Y
768,2140024xxx,"IVABRADINA COMPRIMIDO 7,5 MG",,803,Y
769,2120016,MORFINA 2% FCO 60CC 20 MG/ML,,501,Y
770,2125306,MORFINA SOLUCION INYECTABLE 10 MG/ML,,501,Y
771,2120030xxx,OXICODONA COMPRIMIDO LIBERACION PROLONGADA 20 MG,,545,Y
772,2120025xxx,REMIFENTANILO 5 MG POLVO PARA SOL. INY.,,621,Y
773,2120055,REMIFENTANILO 2 MG SOL. INYECTABLE,,621,Y
774,2120025,FENTANILO 25 MCG/HR PARCHE TRANSDERMICO,,300,Y
775,2120023,FENTANILO CITRATO 0.1 MG/2ML SOL. INYECTABLE,,300,Y
776,2122902,"FENTANILO SOLUCION INYECTABLE 0,5 MG/10 ML",,300,Y
777,2120010,METADONA CLORHIDRATO 10 MG CM,,475,Y
778,2120005,METADONA 10 MG/2 ML AMP,,475,Y
779,2120048,MORFINA CLORH. 20 MG/ML SOL. INYECTABLE,,501,Y
780,2160140xxx,"NALOXONA SOLUCION INYECTABLE 0,4 MG/ML",,508,Y
781,2120053,PETIDINA CLORHIDRATO SOLUCION INYECTABLE 100 MG/2 ML,,575,Y
782,2141534,"TRAMADOL + PARACETAMOL COMPRIMIDO 37,5 MG/325MG",,708,Y
783,2140256,TRAMADOL COMPRIMIDO 100 MG,,707,Y
784,2142236,TRAMADOL COMPRIMIDO 200 MG,,707,Y
785,2140257,TRAMADOL 50 MG,,707,Y
786,2160070,TRAMADOL SOLUCION INYECTABLE 100 MG/2 ML,,707,Y
787,2170091,TRAMADOL 100 MG/ML GOTAS ORALES,,707,Y
788,2160406,DEXMEDETOMIDINA SOLUCION INYECTABLE 200 MCG,,221,Y
789,2160407xxx,DEXMEDETOMIDINA  200 MCG/2 ML FA,,221,Y
790,2120030,KETAMINA CLORH. 500 MG/10 ML SOL. INYECTABLE,,411,Y
791,V03AN010570339,OXIGENO GAS GENERAL,,547,Y
792,2160091,PROPOFOL 1% EMULSIÓN ACUOSA INYECTABLE 20 ML-50 ML,,613,Y
793,2160095,PROPOFOL 2% EMULSIÓN INYECTABLE 50 ML,,613,Y
794,2160082xxx,PROPOFOL TIVA KIT 2% 50 ML,,613,Y
795,2166405,TIOPENTAL SODICO POLVO LIOFILIZADO PARA SOLUCION INYECTABLE 1 GR,,694,Y
796,2160009,"BUPIVACAINA 0,75% 2 ML HIPERBARICA SOL. INYECTABLE",,107,Y
797,NOEXISTE9,BUPIVACAINA,,107,Y
798,2163225,LIDOCAINA HIPERBARICA SOLUCION INYECTABLE 5%,,444,Y
799,2163230,"LIDOCAINA SOLUCION INYECTABLE 2,00% 5ML",,444,Y
800,2160046,LIDOCAINA CLORHIDRATO 2% AM 10 ML SOL. INYECTABLE,,444,Y
801,2179010,"LIDOCAINA SOLUCION TOPICA 10,00%",,444,Y
802,2170052,LIDOCAINA 3 G CLORHEXIDINA DIGLUC SOL 20 % 0.25 G 10 ML,,444,Y
803,2527009,"MEPIVACAINA 3% SIN VASOCONSTRICTOR/1,8 ML AMPOLLA",,470,Y
804,2160082,"PROPARACAINA 0,5 % SOL. OFTALMICA",,609,Y
805,2170282,"ALUMINIO HIDROXIDO SUSPENSION ORAL 6,00% 180 ML",,40,Y
806,NOEXISTE22,ESOMEPRAZOL 10 MG,,264,Y
807,2140059XXX,LANSOPRAZOL 30MG GRANULOS REC. ENTERICO SO.,,428,Y
808,2140273,MISOPROSTOL COMPRIMIDO 200 MCG,,493,Y
809,2140202,OMEPRAZOL CAPSULA 20.0 mg,,540,Y
810,2160057,OMEPRAZOL 40 MG LIOFILIZADO P/ SOLN. INYECTABLE,,540,Y
811,2140086,RANITIDINA 300 MG CM,,620,Y
