ID,Codigo,Descripcion,Tipo,FechaExtraccion
1,LAB1,Main Pathology Laboratory,L,2026-01-31 18:05:40.537000
2,TEST,Test Department,E,2026-01-31 18:05:40.540000
3,1234TEST,Medicina General HOV,E,2026-01-31 18:05:40.543000
4,BC-105-102,Box Cardiología_HDATL,E,2026-01-31 18:05:40.547000
5,12345GR,General,E,2026-01-31 18:05:40.550000
6,ANES-HOV_105102,Anestesiologia HDATL,E,2026-01-31 18:05:40.550000
7,ARCI-HOV,Archivo Clinico,MR,2026-01-31 18:05:40.553000
8,CARD-HOV_105102,Cardiologia Adulto HDATL,E,2026-01-31 18:05:40.557000
9,CIRA-HOV_105102,Cirugia Adulto HDATL,E,2026-01-31 18:05:40.560000
10,CIBU-HOV_105102,Cirugia Bucal HDATL,E,2026-01-31 18:05:40.567000
11,MAXI-HOV_105102,Box Maxilo Facial-HOV,E,2026-01-31 18:05:40.577000
12,CCMF-HOV_105102,"Cirugia Cabeza, Cuello y Maxilo Facial HDATL",E,2026-01-31 18:05:40.580000
13,MAMA-HOV_105102,Mastologia HDATL,E,2026-01-31 18:05:40.583000
14,CINI-HOV_105102,Cirugia Infantil HDATL,E,2026-01-31 18:05:40.587000
15,CIVA-HOV_105102,Cirugia Vascular Periferica HDATL,E,2026-01-31 18:05:40.587000
16,DERM-HOV_105102,Dermatologia HDATL,E,2026-01-31 18:05:40.593000
17,ENDA-HOV_105102,Endocrinologia Adulto HDATL,E,2026-01-31 18:05:40.597000
18,ENDI-HOV_105102,Endocrinologia Infantil HDATL,E,2026-01-31 18:05:40.600000
19,ITSI-HOV_105102,ITS HDATL,E,2026-01-31 18:05:40.607000
20,BPA-HOV_105102,Broncopulmonar Adulto HDATL,E,2026-01-31 18:05:40.610000
21,BPI-HOV_105102,Broncopulmonar Infantil HDATL,E,2026-01-31 18:05:40.617000
22,GAA-HOV_105102,Gastroenterologia Adulto HDATL,E,2026-01-31 18:05:40.620000
23,GAI-HOV_105102,Gastroenterologia Infantil HDATL,E,2026-01-31 18:05:40.623000
24,GOBS-HOV_105102,Box Gine Obstetrico-HOV,E,2026-01-31 18:05:40.627000
25,PCER-HOV_105102,Patologia Cervical HDATL,E,2026-01-31 18:05:40.627000
26,GINE-HOV_105102,Ginecologia Adulto HDATL,E,2026-01-31 18:05:40.630000
27,EGOB-HOV_105102,Box ECO Ginecobstetrica-HOV,E,2026-01-31 18:05:40.630000
28,GPA-HOV_105102,Ginecologia Pediatrica y de la Adolescencia HDATL,E,2026-01-31 18:05:40.633000
29,HEMA-HOV_105102,Hematologia Adulto HDATL,E,2026-01-31 18:05:40.637000
30,INFO-HOV_105102,Infectologia Adulto HDATL,E,2026-01-31 18:05:40.640000
31,MEDI-HOV_105102,Medicina Interna HDATL,E,2026-01-31 18:05:40.643000
32,PSINFA-HOV_105102,Medico Psiquiatria Pediatrica y de la Adolescencia HDATL,E,2026-01-31 18:05:40.647000
33,URO-HOV_105102,Box Medico Urología-HOV,E,2026-01-31 18:05:40.650000
34,MGPA-HOV_105102,Medico Ginecologia Pediatrica y de la Adolescencia HDATL,E,2026-01-31 18:05:40.657000
35,MPSIA-HOV_105102,Medico Psiquiatria Adulto HDATL,E,2026-01-31 18:05:40.660000
36,PFUN-HDT_105102,Policlinico de Funcionarios - HDTAL,E,2026-01-31 18:05:40.663000
37,FISA-HOV_105102,Fisiatria Adulto HDATL,E,2026-01-31 18:05:40.670000
38,NEON-HOV_105102,Nefrologia Adulto HDATL,E,2026-01-31 18:05:40.670000
39,NEUA-HOV_105102,Neurologia Adulto HDATL,E,2026-01-31 18:05:40.673000
40,NEUI-HOV_105102,Neurologia Infantil HDATL,E,2026-01-31 18:05:40.677000
41,ARO-HOV_105102,Alto Riesgo Obstetrico HDATL,E,2026-01-31 18:05:40.687000
42,OFT-HOV_105102,Oftalmologia HDATL,E,2026-01-31 18:05:40.690000
43,CPAL-HOV_105102,Medicina Paliativa HDATL,E,2026-01-31 18:05:40.690000
44,ONCO-HOV_105102,Box Oncologia Medica-HOV,E,2026-01-31 18:05:40.697000
45,OTOR-HOV_105102,Otorrinologia HDATL,E,2026-01-31 18:05:40.700000
46,PEDIATRIA HDATL,Box Pediatria-HOV,E,2026-01-31 18:05:40.700000
47,PIVE-HOV_105102,Box Psiquiatría-IVE-HOV,E,2026-01-31 18:05:40.707000
48,PSIA-HOV_105102,Psiquiatria Adulto - HDATL,E,2026-01-31 18:05:40.710000
49,PCE-HDT_105102,Psiquiatria CESAM HDATL,E,2026-01-31 18:05:40.730000
50,PSIP-HOV_105102,Psiquiatria Pediatrica y de la Adolescencia HDATL,E,2026-01-31 18:05:40.763000
51,TTM-HOV_105102,Box Trastornos Temporomandibulares-HOV,E,2026-01-31 18:05:40.767000
52,TRAU-HOV_105102,Traumatologia HDATL,E,2026-01-31 18:05:40.770000
53,UROI-HOV_105102,Urologia Adulto HDATL,E,2026-01-31 18:05:40.773000
54,UROINF-HOV_105102,Urologia Infantil HDATL,E,2026-01-31 18:05:40.773000
55,GRD-HOV,Grupo Relacionado  Diagnostico-HOV,O,2026-01-31 18:05:40.777000
56,AGENDA-HOV,Control y Gestion de Agenda,ADM,2026-01-31 18:05:40.783000
57,GES-HOV,Garantias Explicitas en Salud-GES,O,2026-01-31 18:05:40.787000
58,DGD-HOV,Departamento Gestion de la Demanda,O,2026-01-31 18:05:40.790000
59,LECNE-HOV,Lista de espera consulta nueva de especialidad,O,2026-01-31 18:05:40.793000
60,ADMISION-LEC-HOV,Admision-Lista de espera control,E,2026-01-31 18:05:40.793000
61,LEQX-HOV,Lista de espera Procedimiento Qx,E,2026-01-31 18:05:40.800000
62,LETC-HOV,Lista de Espera Teleconsulta Control,E,2026-01-31 18:05:40.807000
63,ADMAMBU-HOV,Admisión Ambulatoria,ADM,2026-01-31 18:05:40.810000
64,105102-F001,Bodega Central de Farmacia-HOV,D,2026-01-31 18:05:40.813000
65,105102-F002,Botiquin Urgencia-HOV,D,2026-01-31 18:05:40.817000
66,105102-F003,Farmacia-HOV,D,2026-01-31 18:05:40.817000
67,105102-F004,Farmacia Controlados-HOV,D,2026-01-31 18:05:40.820000
68,105102-F005,Farmacia Hospitalizado-HOV,D,2026-01-31 18:05:40.823000
69,105102-UA001,Anatomía Patológica-HOV,E,2026-01-31 18:05:40.823000
70,105102-UA002,Banco de Sangre-HOV,E,2026-01-31 18:05:40.827000
71,105102-UA003,Imagenología/Ultrasonografía-HOV,E,2026-01-31 18:05:40.830000
72,105102-UA004,Laboratorio Clínico-HOV,E,2026-01-31 18:05:40.833000
73,07-003,Cardiología,E,2026-01-31 18:05:40.837000
156,PEDI-HOV_105102 ,Pediatría HDATL ,E,2026-01-31 18:05:40.840000
157,AS-HDATL,Box Asistente Social HDATL,E,2026-01-31 18:05:40.840000
158,AS-MFR-HOV,Box Asistente Social_ Medicina Fisica y Rehabilitacion HDATL,E,2026-01-31 18:05:40.843000
159,AS-PSIQ-AD-HOV,Box Asistente Social_ Psiquiatria Adulto HDATL,E,2026-01-31 18:05:40.847000
160,AS-GINPED-HOV,Box Asistente Social_ Psiquiatria Pediatrica y de la Adolescencia HDATL,E,2026-01-31 18:05:40.850000
161,AS-PSIQ-IA-HOV,Box Asistente Social_Ginecologia pediatrica y de la adolescencia HDATL,E,2026-01-31 18:05:40.850000
162,AS-IVE-HOV,Box Asistente Social_IVE HDATL,E,2026-01-31 18:05:40.853000
163,AS-PAIG-HOV,Box Asistente Social_PAIG_ HDATL,E,2026-01-31 18:05:40.853000
164,FO-MFR-HOV,Box Fonoaudiologia_ Medicina Fisica y Rehabilitacion HDATL,E,2026-01-31 18:05:40.857000
165,KIN-MFR-HOV,Box Kinesiologia_ Medicina Fisica y Rehabilitacion HDATL,E,2026-01-31 18:05:40.860000
166,MAT-HOV,Box Matron(a) HDATL,E,2026-01-31 18:05:40.860000
167,MAT-GINPED-HOV,Box Matron(a)_Ginecologia Pediatrica y de la Adolescencia HDATL,E,2026-01-31 18:05:40.863000
168,MAT-PAIG-HOV,Box Matron(a)_PAIG HDATL,E,2026-01-31 18:05:40.867000
169,NUT-HOV,Box Nutricionista HDATL,E,2026-01-31 18:05:40.867000
