ID,Codigo,Descripcion,FechaExtraccion
1,MH1,Main Hospital 1,2026-01-31 18:05:39.917000
2,105102,Hospital Dr. Antonio Tirado Lanas (Ovalle),2026-01-31 18:05:39.920000
3,105100,Hospital San Juan de Dios (La Serena),2026-01-31 18:05:39.923000
4,105101,Hospital San Pablo (Coquimbo),2026-01-31 18:05:39.923000
5,105103,Hospital Dr. Humberto Elorza Cortés (Illapel),2026-01-31 18:05:39.927000
6,105104,Hospital de Salamanca,2026-01-31 18:05:39.930000
7,105105,Hospital San Juan de Dios (Combarbalá),2026-01-31 18:05:39.930000
8,105106,Hospital Dr. José Arraño (Andacollo),2026-01-31 18:05:39.933000
9,105107,Hospital San Juan de Dios (Vicuña),2026-01-31 18:05:39.937000
10,105108,Hospital San Pedro (Los Vilos),2026-01-31 18:05:39.940000
11,MAPADER,Mapa de Derivación,2026-01-31 18:05:39.943000
21,05-200,Centro Regulador SAMU,2026-01-31 18:05:39.947000
22,05-203,Base SAMU La Serena,2026-01-31 18:05:39.950000
23,05-204,Base SAMU Coquimbo,2026-01-31 18:05:39.950000
24,05-208,Base SAMU Ovalle,2026-01-31 18:05:39.953000
25,05-210,Base SAMU Illapel,2026-01-31 18:05:39.957000
26,105300,Centro de Salud Familiar Cardenal Caro,2026-01-31 18:05:39.957000
27,105301,Consultorio Las Compañías,2026-01-31 18:05:39.960000
28,105302,Consultorio Pedro Aguirre Cerda,2026-01-31 18:05:39.963000
29,105303,Centro de Salud Familiar San Juan,2026-01-31 18:05:39.963000
30,105304,Centro de Salud Familiar Santa Cecilia,2026-01-31 18:05:39.970000
31,105305,Centro de Salud Familiar Tierras Blancas,2026-01-31 18:05:39.970000
32,105306,Consultorio Paihuano,2026-01-31 18:05:39.973000
33,105307,Consultorio Monte Patria,2026-01-31 18:05:39.977000
34,105308,Centro de Salud Familiar Punitaqui,2026-01-31 18:05:39.980000
35,105309,Consultorio Canela,2026-01-31 18:05:39.983000
36,105310,Centro de Salud Familiar Rio Hurtado,2026-01-31 18:05:39.983000
37,105311,Centro de Salud Familiar Chañaral Alto,2026-01-31 18:05:39.990000
38,105312,Centro de Salud Familiar Carén,2026-01-31 18:05:39.990000
39,105313,Consultorio Emilio Schaffhauser,2026-01-31 18:05:39.993000
40,105314,Consultorio La Higuera,2026-01-31 18:05:39.997000
41,105315,Centro de Salud Familiar Cerrillos de Tamaya,2026-01-31 18:05:40
42,105317,Centro de Salud Familiar Jorge Jordán Domic,2026-01-31 18:05:40.003000
43,105318,Centro de Salud Familiar El Palqui,2026-01-31 18:05:40.010000
44,105319,Centro de Salud Familiar Cardenal Raúl Silva Henríquez de La Serena,2026-01-31 18:05:40.010000
45,105321,Consultorio Tongoy,2026-01-31 18:05:40.013000
46,105322,Centro de Salud Familiar Marcos Macuada,2026-01-31 18:05:40.017000
47,105323,Centro de Salud Dr. Sergio Aguilar Delgado,2026-01-31 18:05:40.017000
48,105324,Centro de Salud Familiar Sotaqui,2026-01-31 18:05:40.020000
49,105400,Posta de Salud Rural Algarrobito,2026-01-31 18:05:40.023000
50,105401,Posta de Salud Rural Las Rojas,2026-01-31 18:05:40.023000
51,105402,Posta de Salud Rural El Romero,2026-01-31 18:05:40.027000
52,105404,Posta de Salud Rural El Tangue,2026-01-31 18:05:40.030000
53,105405,Posta de Salud Rural Guanaqueros,2026-01-31 18:05:40.030000
54,105406,Posta de Salud Rural Pan de Azúcar,2026-01-31 18:05:40.033000
55,105407,Posta de Salud Rural Tambillo,2026-01-31 18:05:40.037000
56,105409,Posta de Salud Rural El Chañar,2026-01-31 18:05:40.040000
57,105410,Posta de Salud Rural Hurtado,2026-01-31 18:05:40.040000
58,105411,Posta de Salud Rural Las Breas (Río Hurtado),2026-01-31 18:05:40.043000
59,105413,Posta de Salud Rural Samo Alto,2026-01-31 18:05:40.043000
60,105414,Posta de Salud Rural Serón,2026-01-31 18:05:40.047000
61,105415,Posta de Salud Rural Barraza,2026-01-31 18:05:40.050000
62,105416,Posta de Salud Rural Camarico (Ovalle),2026-01-31 18:05:40.050000
63,105417,Posta de Salud Rural Alcones Bajo,2026-01-31 18:05:40.050000
64,105419,Posta de Salud Rural Las Sossas,2026-01-31 18:05:40.053000
65,105420,Posta de Salud Rural Limarí,2026-01-31 18:05:40.057000
66,105422,Posta de Salud Rural Hornillos,2026-01-31 18:05:40.060000
67,105425,Posta de Salud Rural Chilecito,2026-01-31 18:05:40.060000
68,105427,Posta de Salud Rural Hacienda Valdivia,2026-01-31 18:05:40.063000
69,105428,Posta de Salud Rural Huatulame,2026-01-31 18:05:40.067000
70,105430,Posta de Salud Rural Mialqui,2026-01-31 18:05:40.070000
71,105431,Posta de Salud Rural Pedregal,2026-01-31 18:05:40.070000
72,105432,Posta de Salud Rural Rapel (Monte Patria),2026-01-31 18:05:40.080000
73,105433,Posta de Salud Rural San Lorenzo (Combarbalá),2026-01-31 18:05:40.083000
74,105434,Posta de Salud Rural San Marcos (Combarbalá),2026-01-31 18:05:40.090000
75,105435,Posta de Salud Rural Tulahuén,2026-01-31 18:05:40.093000
76,105436,Posta de Salud Rural El Maitén,2026-01-31 18:05:40.097000
77,105437,Posta de Salud Rural Chalinga,2026-01-31 18:05:40.100000
78,105439,Posta de Salud Rural Cerro Blanco,2026-01-31 18:05:40.103000
79,105440,Posta de Salud Rural Divisadero,2026-01-31 18:05:40.103000
80,105441,Posta de Salud Rural Manquehua,2026-01-31 18:05:40.107000
81,105442,Posta de Salud Rural San Pedro de Quiles,2026-01-31 18:05:40.110000
82,105443,Posta de Salud Rural Cárcamo,2026-01-31 18:05:40.113000
