ID,TablaOrigen,ColumnaOrigen,TablaDestino,ColumnaDestino,Tipo
1,APC_VendCat,APCVC_CoCode_DR,CT_Company,,FK
2,APC_VendCat,APCVC_CreatedUser_DR,SS_User,,FK
3,APC_VendCat,APCVC_UpdatedUser_DR,SS_User,,FK
4,APC_Vendor,APCVM_AcctCode_DR,GLC_Acct,,FK
5,APC_Vendor,APCVM_Category_DR,APC_VendCat,,FK
6,APC_Vendor,APCVM_City_DR,CT_City,,FK
7,APC_Vendor,APCVM_CoCode_DR,CT_Company,,FK
8,APC_Vendor,APCVM_CostCent_DR,GLC_CC,,FK
9,APC_Vendor,APCVM_CreatedUser_DR,SS_User,,FK
10,APC_Vendor,APCVM_CreditTerm_DR,INC_CreditTerms,,FK
11,APC_Vendor,APCVM_State_DR,CT_State,,FK
12,APC_Vendor,APCVM_UpdatedUser_DR,SS_User,,FK
13,APC_Vendor,APCVM_Zip_DR,CT_Zip,,FK
14,APC_VendorPrice,APCVP_CreatedUser_DR,SS_User,,FK
15,APC_VendorPrice,APCVP_ParRef,APC_Vendor,,ParRef
16,APC_VendorPrice,APCVP_UpdatedUser_DR,SS_User,,FK
17,ARC_ActivityClaimStatus,ACTCLST_CreatedUser_DR,SS_User,,FK
18,ARC_ActivityClaimStatus,ACTCLST_UpdatedUser_DR,SS_User,,FK
19,ARC_AdmixtureRec,ARCAR_BaseUOM_DR,CT_UOM,,FK
20,ARC_AdmixtureRec,ARCAR_CreatedUserHosp_DR,CT_Hospital,,FK
21,ARC_AdmixtureRec,ARCAR_CreatedUser_DR,SS_User,,FK
22,ARC_AdmixtureRec,ARCAR_CTLOC_DR,CT_Loc,,FK
23,ARC_AdmixtureRec,ARCAR_EP_PBSPrescribingRule_DR,PHC_PBSPrescribingRule,,FK
24,ARC_AdmixtureRec,ARCAR_FinalCheckUser_DR,SS_User,,FK
25,ARC_AdmixtureRec,ARCAR_FinalForm_DR,PHC_Form,,FK
26,ARC_AdmixtureRec,ARCAR_Generic_DR,PHC_Generic,,FK
27,ARC_AdmixtureRec,ARCAR_INCTG_DR,INC_StkTkGp,,FK
28,ARC_AdmixtureRec,ARCAR_ItemCat_DR,ARC_ItemCat,,FK
29,ARC_AdmixtureRec,ARCAR_PharmCat_DR,PHC_Cat,,FK
30,ARC_AdmixtureRec,ARCAR_PHCS_DR,PHC_Strength,,FK
31,ARC_AdmixtureRec,ARCAR_PregnancyCat_DR,PAC_PregnancyCategory,,FK
32,ARC_AdmixtureRec,ARCAR_RecAMP_DR,ARC_AdmixtureRec,,FK
33,ARC_AdmixtureRec,ARCAR_RecVMPP_DR,ARC_AdmixtureRec,,FK
34,ARC_AdmixtureRec,ARCAR_RecVMP_DR,ARC_AdmixtureRec,,FK
35,ARC_AdmixtureRec,ARCAR_Route_DR,OEC_Route,,FK
36,ARC_AdmixtureRec,ARCAR_SchedDrugClass_DR,PHC_ScheduledDrugClass,,FK
37,ARC_AdmixtureRec,ARCAR_UOM_DR,CT_UOM,,FK
38,ARC_AdmixtureRec,ARCAR_UpdatedUserHosp_DR,CT_Hospital,,FK
39,ARC_AdmixtureRec,ARCAR_UpdatedUser_DR,SS_User,,FK
40,ARC_AdmixtureRecAdditive,RECAD_CreatedUser_DR,SS_User,,FK
41,ARC_AdmixtureRecAdditive,RECAD_ParRef,ARC_AdmixtureRec,,ParRef
42,ARC_AdmixtureRecAdditive,RECAD_UOM_DR,CT_UOM,,FK
43,ARC_AdmixtureRecAdditive,RECAD_UpdatedUser_DR,SS_User,,FK
44,ARC_AdmixtureRecDoseEquiv,RECDE_CreatedUser_DR,SS_User,,FK
45,ARC_AdmixtureRecDoseEquiv,RECDE_CTUOM_DR,CT_UOM,,FK
46,ARC_AdmixtureRecDoseEquiv,RECDE_ParRef,ARC_AdmixtureRec,,ParRef
