ID,Codigo,Descripcion,CodigoISO2,CodigoISO3
1,301,Afganistán,,
2,401,Albania,,
3,402,Alemania,,
4,101,Angola,,
5,201,Anguilla,,
6,202,Antigua Y Barbuda,,
7,203,Antillas Holandesas,,
8,302,Arabia Saudita,,
9,102,Argelia,,
10,204,Argentina,,
11,303,Armenia,,
12,205,Aruba,,
13,501,Ashmore Y Cartier,,
14,502,Australia,,
15,404,Austria,,
16,304,Azerbaiyán,,
17,206,Bahamas,,
18,305,Bahréin,,
19,306,Bangladesh,,
20,207,Barbados,,
21,208,Belice,,
22,103,Benin,,
23,209,Bermudas,,
24,406,Bielorussia,,
25,308,Birmania,,
26,210,Boliviana,,
27,407,Bosnia - Herzegovina,,
28,104,Botswana,,
29,211,Brasil,,
30,309,Brunei,,
31,408,Bulgaria,,
32,105,Burkina Faso,,
33,106,Burundi,,
34,307,Bután,,
35,405,Bélgica,,
36,107,Cabo Verde,,
37,310,Camboya,,
38,108,Camerún,,
39,212,Canadá,,
40,109,Chad,,
41,213,Chile,,
42,311,China,,
43,409,Chipre,,
44,503,Christmas,,
45,214,Colombia,,
46,110,Comores,,
47,111,Costa De Marfil,,
48,215,Costa Rica,,
49,410,Croacia,,
50,216,Cubana,,
51,411,Dinamarca,,
52,112,Djibouti,,
53,217,Dominica,,
54,218,Ecuador,,
55,113,Egipto,,
56,219,El Salvador,,
57,312,Emiratos Árabes Unidos,,
58,114,Eritrea,,
59,412,Eslovaquia,,
60,413,Eslovenia,,
61,414,España,,
62,504,Estados Federados De Micronesi,,
63,220,Estados Unidos De América,,
64,415,Estonia,,
65,115,Etiopia,,
66,505,Fiji,,
67,313,Filipinas,,
68,416,Finlandia,,
69,417,Francia,,
70,116,Gabón,,
71,117,Gambia,,
72,314,Georgia,,
73,118,Ghana,,
74,418,Gibraltar,,
75,221,Granada,,
76,419,Grecia,,
77,222,Groenlandia,,
78,223,Guadalupe,,
79,506,Guam,,
80,224,Guatemala,,
81,119,Guinea,,
82,120,Guinea - Bissau,,
83,122,Guinea Francesa,,
84,225,Guyana,,
85,226,Guyana Francesa,,
86,227,Haití,,
87,420,Holanda,,
88,228,Honduras,,
89,315,Hong Kong,,
90,421,Hungria,,
91,316,India,,
92,317,Indonesia,,
93,14,Inglesa,,
94,318,Irak,,
95,422,Irlanda,,
96,319,Irán,,
97,507,Isla Kingman Reef,,
98,508,Isla Lord Howe,,
99,423,Islandia,,
100,509,Isla Norfolk,,
101,510,Isla Palmyra,,
102,229,Islas Caimán,,
103,512,Islas Cocos,,
104,513,Islas Cook,,
105,424,Islas Feroe,,
106,230,Islas Georgia Del Sur,,
107,514,Islas Jarvis,,
108,515,Islas Johnston,,
109,231,Islas Malvinas,,
110,516,Islas Mariana Del Norte,,
111,517,Islas Marshall,,
112,518,Islas Midway,,
113,519,Islas Salomón,,
114,232,Islas Turcos Y Caicos,,
115,233,Islas Vírgenes Americanas,,
116,234,Islas Vírgenes Británicas,,
117,520,Islas Wallis Y Futuna,,
118,511,Isla Wake,,
119,320,Israel,,
120,425,Italia,,
121,235,Jamaica,,
122,321,Japón,,
123,322,Jordania,,
124,323,Kazajstán,,
125,123,Kenia,,
126,324,Kirguizistán,,
127,521,Kiribati,,
128,325,Kuwait,,
129,326,Laos,,
130,124,Lesotho,,
131,426,Letonia,,
132,125,Liberia,,
133,126,Libia,,
134,427,Liechtenstein,,
135,428,Lituania,,
136,429,Luxemburgo,,
137,327,Líbano,,
138,328,Macao,,
139,430,Macedonia,,
140,522,Macquarie,,
141,127,Madagascar,,
142,329,Malasia,,
143,128,Malawi,,
144,330,Maldivas,,
145,129,Mali,,
146,431,Malta,,
147,130,Marruecos,,
148,236,Martinica,,
149,131,Mauricio,,
150,132,Mauritania,,
151,133,Mayotte,,
152,331,Mongolia,,
153,238,Monserrat,,
154,134,Mozambique,,
155,237,México,,
156,432,Mónaco,,
157,135,Namibia,,
158,523,Nauru,,
159,332,Nepal,,
160,239,Nicaragua,,
