ID,Codigo,Descripcion
1,06,Agricultores y Trabajadores Calificados Agropecuarios y Pesqueros
2,99,Desconocido
3,04,Empleados de Oficina
4,10,Fuerzas Armadas
5,01,"Miembro del Poder Ejecutivo de los Cuerpos Legislativos, Personal Directivo de la Administración Pública y de Empresa"
6,07,"Oficiales, Operarios y Artesanos de Artes Mecánicas y de Otros Oficios"
7,08,Operadores de Instalaciones y Máquinas y Montadoras
8,02,Profesionales Científicos o Intelectuales
9,05,Trabajadores de los Servicios y Vendedores de Comercio y Mercado
10,09,Trabajadores No Calificados
11,03,Técnicos y Profesionales de Nivel Medio
