ID,Descripcion,FechaExtraccion
1,CLXX Administrador APS,2026-01-31 18:05:36.060000
2,CLXX Consulta Registro Paciente,2026-01-31 18:05:36.067000
3,CLXX Admision Ambulatoria,2026-01-31 18:05:36.070000
4,CLXX Médico APS,2026-01-31 18:05:36.070000
5,CLXX Anestesiólogo,2026-01-31 18:05:36.073000
6,CLXX Kinesiólogo APS,2026-01-31 18:05:36.077000
7,CLXX Enfermería Urgencia/Revertir Alta ESI,2026-01-31 18:05:36.077000
8,CLXX Técnico Rehabilitación y Drogas Hospitalizado SM UHCE,2026-01-31 18:05:36.080000
9,CLXX Terapeuta Ocupacional Ambulatorio,2026-01-31 18:05:36.083000
10,CLXX.EM.Enfermería Urgencia,2026-01-31 18:05:36.083000
11,CLXX Profesional Clínico Urgencia,2026-01-31 18:05:36.090000
12,CLXX.EM.TP Urgencia G-O,2026-01-31 18:05:36.090000
13,CLXX Médico ACN,2026-01-31 18:05:36.093000
14,CLXX Soporte,2026-01-31 18:05:36.093000
15,CLXX.OP.Médico Especialidades Ambulatorio Tele-Medicina,2026-01-31 18:05:36.100000
16,CLXX Otorrinolaringología,2026-01-31 18:05:36.100000
17,CLXX Salud Mental,2026-01-31 18:05:36.103000
18,CLXX Fonoaudiología,2026-01-31 18:05:36.107000
19,CLXX.EM.Médico Urgencia ESI,2026-01-31 18:05:36.107000
20,CLXX.APS.Educador de Párvulos,2026-01-31 18:05:36.110000
21,CLXX Médico Laboratorio,2026-01-31 18:05:36.110000
22,CLXX.OT.Gestor Agendamiento Quirúrgico,2026-01-31 18:05:36.113000
23,CLXX.EM.TP Dental Urgencia,2026-01-31 18:05:36.117000
24,CLXX TP Vacunatorio APS,2026-01-31 18:05:36.117000
25,CLXX Contralor Fármacos,2026-01-31 18:05:36.120000
26,CLXX.APS.Profesor de Educación Física,2026-01-31 18:05:36.120000
27,CLXX Cardiología,2026-01-31 18:05:36.123000
28,CLXX Mantenedor de Agenda,2026-01-31 18:05:36.127000
29,CLXX.OP.Director,2026-01-31 18:05:36.137000
30,CLXX.PH.Químico Farmacéutico Clínico,2026-01-31 18:05:36.140000
31,CLXX Matrona APS ,2026-01-31 18:05:36.147000
32,(old)CLXX.OT.TP Pabellón/Recuperación,2026-01-31 18:05:36.150000
33,CLXX GES Administrativo,2026-01-31 18:05:36.153000
34,CLXX Admision Ambulatoria APS,2026-01-31 18:05:36.157000
35,CLXX Quimico Farmaceutico APS,2026-01-31 18:05:36.157000
36,CLXX TP Dental APS,2026-01-31 18:05:36.160000
37,CLXX.EM.Médico Urgencia G-O ESI,2026-01-31 18:05:36.167000
38,CLXX Salud Mental Hospitalización,2026-01-31 18:05:36.167000
39,CLXX Obstetricia/Ginecología,2026-01-31 18:05:36.170000
40,CLXX Terapeuta Ocupacional Hospitalizado SM UHCE,2026-01-31 18:05:36.170000
41,CLXX.EM.Enfermería Urgencia/Revertir Alta,2026-01-31 18:05:36.173000
42,CLXX Control Visitas,2026-01-31 18:05:36.173000
43,CLXX Administrador Archivo,2026-01-31 18:05:36.177000
